OrderID,ShipMode,CustomerID,CustomerName,Segment,City,State,Country,Market,Region,ProductID,Category,Sub-Category,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,OrderPriority
F-10000,Standard Class,F-129,Samuel Roberts,Consumer,Hyderabad,Delhi,India,APAC,East,FUR-9124,Furniture,Chairs,Ergonomic Office Chair,4288.64,4,0.1,1130.94,423.78,Low
F-10001,First Class,F-994,Nicholas Shah,Corporate,Kochi,Delhi,India,APAC,Central,FUR-8592,Furniture,Storage,Steel File Cabinet,4268.29,4,0.0,1305.51,150.51,Medium
F-10002,Standard Class,F-812,Robert Smith,Consumer,Kolkata,Delhi,India,APAC,West,FUR-8463,Furniture,Tables,Modular Work Table,4398.3,4,0.0,1121.07,354.41,High
F-10003,Second Class,F-550,Ronald Evans,Corporate,Jaipur,Rajasthan,India,APAC,North,FUR-2801,Furniture,Chairs,Ergonomic Office Chair,2353.03,3,0.1,1279.53,121.05,Critical
F-10004,Standard Class,F-343,Andrew Roth,Consumer,Ahmedabad,Delhi,India,APAC,West,FUR-1167,Furniture,Chairs,Ergonomic Office Chair,9489.15,5,0.1,1398.89,347.99,Medium
F-10005,First Class,F-770,Sharon Allen,Consumer,Mumbai,Maharashtra,India,APAC,North,FUR-4115,Furniture,Bookcases,Compact Wall Shelf,6066.99,4,0.05,1115.88,217.31,Low
F-10006,Second Class,F-477,Sarah Bailey,Home Office,Hyderabad,Delhi,India,APAC,South,FUR-1117,Furniture,Tables,Round Coffee Table,8431.06,4,0.1,523.79,108.7,High
F-10007,Second Class,F-472,Seth Jones,Home Office,Kochi,Telangana,India,APAC,West,FUR-6558,Furniture,Tables,Modular Work Table,2113.0,2,0.1,118.02,205.1,Medium
F-10008,Same Day,F-961,Kyle Wheeler,Home Office,Delhi,Telangana,India,APAC,South,FUR-7822,Furniture,Bookcases,Compact Wall Shelf,4882.57,3,0.05,237.84,361.61,High
F-10009,Standard Class,F-682,Hannah Hurst,Corporate,Chennai,Tamil Nadu,India,APAC,East,FUR-6973,Furniture,Bookcases,Compact Wall Shelf,6026.72,3,0.05,1366.54,211.84,High
